origin,destination,netperf_p50_latency_microseconds,netperf_p90_latency_microseconds,netperf_p99_latency_microseconds
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node11.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,159,203,318
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,184,219,280
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,82,149,261
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,482,544,579
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,80,132,232
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,151,190,255
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,187,247,351
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node5.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,150,207,318
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node9.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,78,146,260
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node8.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,185,237,327
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node2.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,441,516,576
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node3.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,420,506,589
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,master.cluster.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,431,519,605
node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node1.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,470,548,623
node11.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,160,219,339
